367227    0004163	50226	466013	4893633
722975   00015095	27424	703913	8361473
485188   10002192	91785	905183	9689001
776589    0006125	91951	103292	9587548
564664    0008627	11688	521701	1822695
668785    0004661	72956	731050	6838859
476283    0007423	86321	669486	6478572
285672    0007269	75932	315137	3614854
141214    0002824	15820	596504	7482363
972820    0008823	33423	547023	1622167
486734    0002423	13038	154446	1673908
696202    0008273	29746	436454	5006211
864320    0005674	60699	610583	6579164
172158    0006479	14306	377331	4094775
445150    0005530	19587	184859	6828643
993646    0004317	87643	468116	8350422
383377    0007632	20245	899257	8754959
283136    0005179	90963	300646	2728858
817858    0007518	68589	934143	1661142
681864    0001736	36732	199456	8873725
935906    0006393	68624	148443	6346438
836720    0004125	22942	332886	7000627
744318    0006902	63514	973314	4851123
229671    0009383	57015	859901	1108435
860876    0008544	60688	339229	9335142
581265    0004260	47285	262303	3744554
628471    0002899	66534	377579	7929726
366856    0006524	41024	901230	3809943
177214    0003091	68024	773119	7648079
242863    0007761	98617	691049	1125209
624772    0003026	83575	892862	7365364
447364    0008236	63182	514267	7109151
512593    0002224	70248	564251	1452783
124811    0002404	64570	549067	3242548
980540    0004651	27309	789767	4770683
261822    0003040	91553	971513	1626623
212211    0009402	80245	606491	4770810
855743    0005465	48674	655691	9469336
620749    0005820	91243	209175	8671645
556142    0007016	56292	444090	5166480
219426    0005168	95038	809575	4352859
441289    0009946	60973	330989	4914707
822880    0008693	99496	684972	9444425
323751    0005073	15295	741882	2568407
735596    0004477	95171	201136	6248410
639359    0009789	23906	319587	1124968
975114    0001633	95635	974613	7791232
676714    0007080	21854	684201	3850631
662960    0008904	56902	500763	1261456
863555    0006164	70949	575520	7205395
750398    0005714	88585	390113	5138811
510676    0001051	30041	455597	2332807
634512    0006406	52542	936159	7598073
592634    0002122	98871	126222	3642911
015850    0004314	81307	169260	6933614
048702    0007551	91654	240012	7072642
831712    0009343	47125	388580	5402516
024541    0001230	97475	987247	5857174
733441    0005688	83728	160881	2400452
687110    0008626	49683	589212	4525176
996535    0005280	12194	924326	2138776
711445    0003700	58919	968309	1702299
017906    0003136	65025	180639	8326641
551130    0004358	18948	430850	7799714
952192    0005451	15501	955037	7217067
384326    0004998	56779	813353	4973057
458648    0005628	97393	344562	1631045
537145    0006306	26351	825930	7196306
815158    0005452	44827	211502	2157752
330140    0006879	94091	440873	2810496
757574    0003748	62382	233741	6854910
036105    0002355	57495	470359	8380083
879405    0006153	87505	635256	2910997
623822    0009403	16547	782203	3091625
814884    0004094	27963	717591	3645004
868298    0005843	89104	401826	9823256
076776    0006668	92387	458245	4184798
913449    0003522	83083	566910	5233044
326457    0009101	57601	961453	7217582
084166    0008193	24687	523682	2716321
423844    0004379	50768	796414	2813952
932488    0007763	86643	484210	3986915
339584    0001413	80860	175116	7688969
415555    0005509	89644	795678	6046942
582820    0003921	67432	246782	8953691
793941    0003158	13460	844285	9625530
558701    0005200	40138	128545	1904379
084983    0004595	12583	391248	5997490
070755    0003932	69329	273378	2491205
055259    0004980	28307	749428	2024359
735602    0007272	56774	497441	6705927
238902    0008563	77910	585163	8615759
894506    0001288	74714	601061	3595181
423280    0004317	36769	626385	7781228
322171    0002937	95423	956845	6081146
255510    0003344	95409	849473	7758800
840925    0005944	72501	735151	2995434
113415    0007422	50597	805810	9464907
348322    0003954	74377	610850	5896224
442402    0008369	52277	920936	2056611
190775    0005996	54322	932881	7665503
376802    0002942	34585	260659	9403492
569583    0002867	88521	276653	2005650
138614    0006638	35607	280195	5735108
223741    0007665	84938	112697	6408512
732894    0005323	66779	694572	2892564
917798    0002582	70651	197777	3562589
966821    0001370	38920	145506	2208150
048559    0008217	83035	648795	1375370
257720    0005810	52473	928076	8613435
259682    0007791	45709	448108	3161176
182287    0004688	88318	392297	1711611
812491    0009264	34211	568569	1858903
498479    0001336	26794	625379	4193109
659781    0009032	64280	433649	1463146
982237    0008425	99912	130232	4433295
140770    0003406	78832	570202	4268746
420795    0003313	79128	474224	2504916
575750    0002313	10225	429455	8398749
884184    0004372	48198	240159	4530241
019163    0001921	94688	647703	7099552
756929    0002989	23642	176313	3041547
126650    0003971	15933	537819	5164739
791726    0005081	93557	915644	3218714
654669    0007919	78633	232423	9802346
068426    0005716	54419	473176	3199972
060246    0001541	20796	522846	4847239
599426    0007607	52417	294191	3198353
461224    0006044	83812	230967	6253705
475216    0005248	39956	702695	6500108
163461    0005862	11884	304947	3120803
724984    0009035	34198	149849	5686300
474217    0003299	44284	589714	5084087
634841    0008865	93531	708019	9259435
814175    0006308	55309	454100	6098216
499741    0004178	35854	398200	6226477
063645    0005952	50780	732899	4657360
886344    0007720	63494	639594	2702908
893127    0001702	79961	480556	1557280
266880    0002393	81972	708595	7031286
193183    0003136	10762	305195	9238785
933512    0005486	66405	181098	7040207
134146    0006271	92672	169879	5323965
624625    0004207	46051	781597	8536983
435569    0006424	40160	105482	8254368
372786    0006679	27666	794709	3628680
332959    0004548	77169	472979	2341352
830690    0005275	21678	405661	8721026
846315    0007561	73192	907541	5328515
121819    0006374	55688	559077	6437158
095574    0007710	68604	668833	2843502
547550    0006515	86150	843216	8351879
637409    0004389	31576	323336	9349248
376770    0005296	99674	599024	8947454
326125    0002366	40322	801748	8418860
832359    0005075	62555	561478	5519823
628611    0004962	61124	754339	2616649
718811    0006655	50125	719505	1930658
141444    0001161	87418	131998	4254745
547219    0006188	10443	342871	3988800
569688    0004778	88303	583706	5695230
227785    0002039	37801	223497	4284332
613561    0001746	27091	109822	5500856
944104    0001746	86423	676118	7842550
744577    0008652	38822	812016	7505865
861911    0008556	36137	462315	4178752
126574    0007671	16157	225967	1904561
978161    0009468	44236	744155	5228997
656452    0005094	60710	919603	3915109
527536    0003389	21983	498606	7608142
691722    0001428	19487	741488	3870310
425492    0003690	69317	385441	3948170
166773    0005759	48831	196681	2450786
914509    0008351	52105	156892	4397167
985567    0009615	80811	936409	3171920
335397    0006953	86545	143262	9487208
067293    0005028	22737	729794	4402691
071132    0009956	92296	476268	4630291
890113    0001888	68234	378043	7714824
197135    0006540	70625	713055	1212775
586168    0009052	77518	855845	2455495
599602    0008157	23842	772460	7425685
379488    0009351	89661	189205	4450764
762843    0005725	12288	148841	2342939
621525    0005290	58378	618779	2583388
151732    0002721	72091	742985	5648041
952834    0009253	25250	816623	2308372
656803    0003423	73787	564278	4182231
567398    0004599	13774	573255	9584975
451238    0009241	71526	666026	1535539
123681    0001336	63017	973446	2679782
477658    0003696	31325	538169	3606221
717876    0002067	83880	793598	2462072
135569    0007869	79715	920905	6544015
068387    0001558	90464	602100	1021408
659488    0006619	92819	258734	8911987
076213    0002924	26582	983718	2212430
898409    0007591	30849	886811	8644425
449488    0007083	64785	334303	6289247
447722    0006004	14873	398680	9337948
951449    0004818	32806	477314	8395164
715447    0001073	77067	410836	7241574
526354    0006410	68570	937491	2445610
228459    0001080	77036	323851	7795233
376932    0001892	41461	909667	7756743
672928    0007812	40318	675242	3396877
132192    0001395	16684	627303	9890661
016672    0003651	49439	421283	8777273
924138    0003290	25581	867655	4517952
527820    0006342	34935	573593	5468232
855874    0009244	79197	100730	3181309
637982    0009345	30800	588473	1781959
443595    0001533	21631	166899	4856225
344560    0002753	40496	279033	5816344
162782    0002573	67294	721837	5186770
748455    0001114	58528	118955	4025829
348897    0004584	60855	176422	3351758
581155    0002724	30354	811036	8664317
912225    0005170	38557	899936	6990343
940628    0002587	21648	100322	9024859
014915    0002484	72276	399537	7939931
327465    0006651	88631	860714	4829659
117770    0003717	94567	358311	2770404
629620    0008000	45149	836513	2308636
062854    0003822	92490	500928	3069779
282752    0006886	96299	370933	3099149
259653    0007628	60596	946368	5624165
614360    0003347	68007	290757	4789734
318465    0006118	78843	428960	7341976
576882    0001372	65703	253904	6170929
342884    0009964	33813	648122	9079585
156228    0006065	19562	885382	9667438
029453    0005355	63417	530991	8787402
278549    0009782	88539	406479	6679174
059655    0006140	49638	563965	1191721
098902    0004341	90957	429131	2871213
573975    0002693	24942	417797	4805490
277707    0007912	45430	731238	5504723
967906    0004682	89738	985880	6537502
385683    0004326	95594	984563	3937781
380108    0009298	79742	300906	4449082
823856    0007324	99898	438714	2659856
974965    0003170	67265	515708	3671813
668708    0006327	94754	296018	2386918
991586    0005467	15548	113004	4340386
295449    0009411	81527	525984	7623281
123693    0004641	92388	594737	8188367
853184    0006708	26150	209349	2053819
329316    0002729	11203	553361	9694743
422427    0001046	32584	128715	2698428
744780    0005686	29575	203536	7039448
852896    0001455	91857	295730	2291452
161507    0006431	20218	561972	1649194
853903    0001442	52604	671940	6310643
861399    0006168	33981	334302	2311115
950861    0006714	21605	816281	4852626
640891    0001051	20112	881894	7858538
675191    0001509	74650	615348	4511037
696817    0008282	21601	216221	6014542
876547    0001620	89073	827243	1862980
789359    0009499	33486	883013	1837724
174764    0001012	36540	636994	1766663
769175    0009121	59476	884914	8852541
362840    0006631	82527	683342	1027734
415307    0008458	43981	318085	7774746
149755    0007642	43124	795506	5593517
276421    0007149	39400	281007	1551746
285190    0007769	57440	709626	7491861
818900    0008493	65607	787271	6282030
234704    0001378	87866	844297	9754927
427877    0003620	99755	710982	4217084
077632    0003180	91531	809308	6433609
512563    0006958	59247	934863	9504366
137579    0003415	50455	964825	4589437
455703    0002107	50031	126869	6339797
892858    0003826	21176	677167	2611487
015811    0006265	24050	836396	3611765
488311    0001215	85125	442831	7683857
335330    0004761	33917	433401	3817902
128282    0003837	32445	165013	8393840
320869    0009811	41973	557183	3810137
346345    0002831	47827	357432	2350725
160347    0001684	17348	184387	8028218
332539    0006665	74934	963730	9174177
292759    0009953	55483	103604	6945085
385258    0009906	16959	307909	7247891
664845    0006044	13178	426853	6044150
871706    0009113	77653	573379	5856348
322340    0004597	67451	841721	4578430
428789    0009929	14266	521071	4610608
180358    0004344	88804	757393	9008924
786907    0009015	99850	211171	1063472
225151    0002315	17160	253695	4962740
533986    0002747	38780	826388	8698821
284892    0002923	34088	855755	9068434
832131    0001137	61316	178417	2530079
333633    0006703	28791	161605	5627167
056469    0002942	58201	525597	1158745
749861    0007702	29992	960825	8097760
549892    0005815	94860	101331	4891758
354869    0003404	89797	781112	5479870
931435    0009416	38254	872951	7599341
814492    0008210	89952	876948	9405372
763536    0005275	63771	949039	9212820
